bin,problem_type,instance,blowup,config,solver_id,status,exit_code,solveTime,flatTime,nodes,failures,restarts,propagations,nogoods,AverageLearnedNogoodLength,AverageLbd,AverageBacktrackAmount
2_high_blowup,regex,regex_10,19.0,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.5200944,0.34983,5383,115,0,17370,115,1290.495652173913,230.2434782608696,0
2_high_blowup,regex,regex_35,35.48888888888889,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0229557,0.37554,44,0,0,47,0,0,0,0
2_high_blowup,regex,regex_35,35.48888888888889,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,2.4353503,0.406141,44,0,0,47,0,0,0,0
2_high_blowup,regex,regex_35,35.48888888888889,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.4253855,0.430053,3606,3,0,7967,3,2034,6.333333333333333,0
2_high_blowup,regex,regex_47,36.717948717948715,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0184911,0.406365,41,0,0,44,0,0,0,0
2_high_blowup,regex,regex_47,36.717948717948715,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,3.0751246,0.432904,41,0,0,44,0,0,0,0
2_high_blowup,regex,regex_47,36.717948717948715,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0245379,0.382921,31,0,0,1215,0,0,0,0
2_high_blowup,regex,regex_52,47.97826086956522,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0309232,0.407087,60,0,0,63,0,0,0,0
2_high_blowup,regex,regex_52,47.97826086956522,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,11.5954129,0.403716,60,0,0,63,0,0,0,0
2_high_blowup,regex,regex_52,47.97826086956522,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,1.5921633,0.426083,6117,26,0,12477,26,7187.346153846154,464.8461538461539,0
2_high_blowup,regex,regex_59,28.535714285714285,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0084001,0.384805,19,0,0,22,0,0,0,0
2_high_blowup,regex,regex_59,28.535714285714285,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.1491266,0.357944,19,0,0,22,0,0,0,0
2_high_blowup,regex,regex_59,28.535714285714285,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0179546,0.392976,203,4,0,1874,4,504.75,4.5,0
2_high_blowup,regex,regex_68,20.217391304347824,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0042005,0.386652,22,0,0,25,0,0,0,0
2_high_blowup,regex,regex_68,20.217391304347824,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.1451375,0.39024,22,0,0,25,0,0,0,0
2_high_blowup,regex,regex_68,20.217391304347824,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.3420756,0.412134,373,167,0,3625,167,1043.778443113772,83.87425149700599,0
2_high_blowup,regex,regex_69,12.934782608695652,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.021857,0.405232,40,0,0,43,0,0,0,0
2_high_blowup,regex,regex_69,12.934782608695652,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.5951059,0.378705,40,0,0,43,0,0,0,0
2_high_blowup,regex,regex_69,12.934782608695652,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.3159413,0.423735,2724,26,0,7880,26,1743.384615384615,48.96153846153846,0
2_high_blowup,regex,regex_7,12.708333333333334,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0025039,0.402338,14,0,0,17,0,0,0,0
2_high_blowup,regex,regex_7,12.708333333333334,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0248912,0.408725,14,0,0,17,0,0,0,0
2_high_blowup,regex,regex_7,12.708333333333334,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0015191,0.357384,16,1,0,527,1,4,4,0
2_high_blowup,regex,regex_90,43.06666666666667,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0019653,0.343966,13,0,0,16,0,0,0,0
2_high_blowup,regex,regex_90,43.06666666666667,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0470078,0.382394,13,0,0,16,0,0,0,0
2_high_blowup,regex,regex_90,43.06666666666667,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0009681,0.36937,8,0,0,440,0,0,0,0
2_high_blowup,regex,regex_92,45.43478260869565,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0139149,0.390728,40,0,0,43,0,0,0,0
2_high_blowup,regex,regex_92,45.43478260869565,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,2.0328038,0.387377,40,0,0,43,0,0,0,0
2_high_blowup,regex,regex_92,45.43478260869565,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.7129587,0.385624,3193,26,0,8603,26,4493.461538461538,99,0
