bin,problem_type,instance,blowup,config,solver_id,status,exit_code,objective,proven_optimal,solveTime,flatTime,nodes,failures,restarts,propagations,nogoods,AverageLearnedNogoodLength,AverageLbd,AverageBacktrackAmount,nfa_glushkov_ms,nfa_glushkov_states,nfa_rbisim_ms,nfa_rbisim_states,dfa_subset_ms,dfa_subset_states,dfa_min_ms,dfa_min_states
0_low_blowup,nonogram,nonogram_55,1.0480769230769231,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,2.6861573,0.391579,95,76,0,11276,76,12.8421052631579,3.986842105263158,0,55.42880005668849,1581,120.2532998577226,1144,14.883300027577206,1581,145.53510010591708,1199
0_low_blowup,nonogram,nonogram_55,1.0480769230769231,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,13.7474021,0.784544,3252,2573,0,4536714,2573,109.5029148853478,8.06956859696852,0,55.42880005668849,1581,120.2532998577226,1144,14.883300027577206,1581,145.53510010591708,1199
0_low_blowup,nonogram,nonogram_66,1.043041606886657,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.6251846,0.474019,31,26,0,2136,26,2.076923076923077,1.884615384615385,0,104.97570005827583,1932,270.01909996033646,1394,22.9251001146622,1932,362.3405998805538,1454
0_low_blowup,nonogram,nonogram_66,1.043041606886657,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.5776658,0.459615,31,26,0,2139,26,2.076923076923077,1.884615384615385,0,104.97570005827583,1932,270.01909996033646,1394,22.9251001146622,1932,362.3405998805538,1454
0_low_blowup,nonogram,nonogram_66,1.043041606886657,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,0.3090394,0.809,423,221,0,317095,221,23.54298642533937,4.393665158371041,0,104.97570005827583,1932,270.01909996033646,1394,22.9251001146622,1932,362.3405998805538,1454
0_low_blowup,nonogram,nonogram_68,1.0588235294117647,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.1820904,0.384097,23,13,0,1440,13,4.076923076923077,3,0,62.25570006063208,1067,90.8118000079412,765,12.862699921242893,1067,150.8341999433469,810
0_low_blowup,nonogram,nonogram_68,1.0588235294117647,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.2326121,0.396658,23,13,0,1440,13,4.076923076923077,3,0,62.25570006063208,1067,90.8118000079412,765,12.862699921242893,1067,150.8341999433469,810
0_low_blowup,nonogram,nonogram_68,1.0588235294117647,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,0.2062848,0.57008,341,202,0,175979,202,28.48019801980198,5.287128712871287,0,62.25570006063208,1067,90.8118000079412,765,12.862699921242893,1067,150.8341999433469,810
0_low_blowup,nonogram,nonogram_7,1.0429184549356223,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.3767902,0.397811,16,11,0,1627,11,32.45454545454545,3.090909090909091,0,57.90930020157248,1928,153.77949993126094,1398,16.04139996925369,1928,179.2010000499431,1458
0_low_blowup,nonogram,nonogram_7,1.0429184549356223,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.3923574,0.41057,16,11,0,1627,11,32.45454545454545,3.090909090909091,0,57.90930020157248,1928,153.77949993126094,1398,16.04139996925369,1928,179.2010000499431,1458
0_low_blowup,nonogram,nonogram_7,1.0429184549356223,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,0.5000731,0.608859,424,327,0,471786,327,45.97859327217125,5.244648318042813,0,57.90930020157248,1928,153.77949993126094,1398,16.04139996925369,1928,179.2010000499431,1458
0_low_blowup,nonogram,nonogram_83,1.0485865724381624,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.5955538,0.325744,68,49,0,3396,49,13.28571428571429,3.816326530612245,0,83.20640012971126,1571,182.307399896672,1132,19.039200036786497,1571,243.33389999810606,1187
0_low_blowup,nonogram,nonogram_83,1.0485865724381624,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.6379486,0.356503,68,49,0,3393,49,13.28571428571429,3.816326530612245,0,83.20640012971126,1571,182.307399896672,1132,19.039200036786497,1571,243.33389999810606,1187
0_low_blowup,nonogram,nonogram_83,1.0485865724381624,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,0.3247465,0.611523,457,272,0,301902,272,43.1985294117647,6.338235294117647,0,83.20640012971126,1571,182.307399896672,1132,19.039200036786497,1571,243.33389999810606,1187
0_low_blowup,nonogram,nonogram_9,1.0480769230769231,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.9890317,0.32657,50,40,0,4940,40,58.2,7.85,0,44.98610002337955,1587,115.61790009727702,1144,10.554800013778731,1587,130.4274999711197,1199
0_low_blowup,nonogram,nonogram_9,1.0480769230769231,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,1.0060805,0.356717,50,40,0,4947,40,58.2,7.85,0,44.98610002337955,1587,115.61790009727702,1144,10.554800013778731,1587,130.4274999711197,1199
0_low_blowup,nonogram,nonogram_9,1.0480769230769231,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,2.6574803,0.633809,1354,1007,0,1473479,1007,126.5978152929493,10.47070506454816,0,44.98610002337955,1587,115.61790009727702,1144,10.554800013778731,1587,130.4274999711197,1199
0_low_blowup,nonogram,nonogram_93,1.0644122383252819,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.0027573,0.363324,2,0,0,439,0,0,0,0,52.40689995116554,864,95.32359996228479,621,16.95250003831461,864,100.41589991305955,661
0_low_blowup,nonogram,nonogram_93,1.0644122383252819,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.0019587,0.348458,2,0,0,439,0,0,0,0,52.40689995116554,864,95.32359996228479,621,16.95250003831461,864,100.41589991305955,661
0_low_blowup,nonogram,nonogram_93,1.0644122383252819,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,0.0101458,0.430675,27,13,0,26538,13,9.846153846153847,4.923076923076923,0,52.40689995116554,864,95.32359996228479,621,16.95250003831461,864,100.41589991305955,661
