bin,problem_type,instance,blowup,config,solver_id,status,exit_code,solveTime,flatTime,nodes,failures,restarts,propagations,nogoods,AverageLearnedNogoodLength,AverageLbd,AverageBacktrackAmount,layered_multigraph_sync_ms,nfa_glushkov_ms,nfa_glushkov_states,nfa_rbisim_ms,nfa_rbisim_states,dfa_subset_ms,dfa_subset_states,dfa_min_ms,dfa_min_states
0_low_blowup,nonogram,nonogram_83,1.043956043956044,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0174897,0.328834,6,1,0,946,1,2,2,0,108.4439,34.885699999676945,1880,83.80849999957718,1365,8.500599999933911,1880,121.9359000001532,1425
0_low_blowup,nonogram,nonogram_83,1.043956043956044,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,15.0090166,0.732101,5530,4226,0,6437597,4226,50.148367250354944,7.491244675816374,0,,34.885699999676945,1880,83.80849999957718,1365,8.500599999933911,1880,121.9359000001532,1425
0_low_blowup,nonogram,nonogram_9,1.0427046263345197,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.1961176,0.513333,15,4,0,1051,4,1,1,0,108.4992,40.96489999960795,1940,115.34170000004451,1405,10.079399998858207,1940,142.2927000000982,1465
0_low_blowup,nonogram,nonogram_9,1.0427046263345197,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.1981221,0.44143,15,4,0,1051,4,1,1,0,107.6283,40.96489999960795,1940,115.34170000004451,1405,10.079399998858207,1940,142.2927000000982,1465
0_low_blowup,nonogram,nonogram_9,1.0427046263345197,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.450107,0.744004,308,214,0,372488,214,52.45794392523364,5.261682242990654,0,,40.96489999960795,1940,115.34170000004451,1405,10.079399998858207,1940,142.2927000000982,1465
0_low_blowup,nonogram,nonogram_93,1.0506072874493928,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,1.02e-05,0.507643,0,0,0,608,0,0,0,0,44.1707,26.589499999545296,1374,57.94090000063079,988,6.38740000067628,1374,77.67670000021099,1038
0_low_blowup,nonogram,nonogram_93,1.0506072874493928,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,1.13e-05,0.463046,0,0,0,608,0,0,0,0,40.8161,26.589499999545296,1374,57.94090000063079,988,6.38740000067628,1374,77.67670000021099,1038
0_low_blowup,nonogram,nonogram_93,1.0506072874493928,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0921458,0.60726,100,70,0,89859,70,37.614285714285714,4.771428571428571,0,,26.589499999545296,1374,57.94090000063079,988,6.38740000067628,1374,77.67670000021099,1038
0_low_blowup,nonogram,nonogram_99,1.045731707317073,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,9.2379052,0.483374,499,400,0,27984,400,33.38,7.015,0,4163.5542,33.26589999892349,1838,84.75459999954182,1312,8.224300000165385,1838,90.63730000070791,1372
0_low_blowup,nonogram,nonogram_99,1.045731707317073,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,9.6754466,0.491824,499,400,0,27998,400,33.38,7.015,0,4281.0149,33.26589999892349,1838,84.75459999954182,1312,8.224300000165385,1838,90.63730000070791,1372
0_low_blowup,nonogram,nonogram_99,1.045731707317073,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,5.4593793999999995,0.852192,2571,1584,0,2064539,1584,108.11742424242425,10.752525252525253,0,,33.26589999892349,1838,84.75459999954182,1312,8.224300000165385,1838,90.63730000070791,1372
0_low_blowup,polyominoes,polyominoes_19,0.7391304347826086,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,2.5926261,0.454657,38,22,0,756,22,4.909090909090909,3.1363636363636362,0,1208.7689,49.01890000473941,1585,2152.664699995512,414,51.373899997997796,1162,1729.907999997522,306
0_low_blowup,polyominoes,polyominoes_19,0.7391304347826086,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,2.2051986,0.379958,38,22,0,754,22,4.909090909090909,3.1363636363636362,0,967.1671,49.01890000473941,1585,2152.664699995512,414,51.373899997997796,1162,1729.907999997522,306
0_low_blowup,polyominoes,polyominoes_19,0.7391304347826086,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,1.7883084,0.453387,129,93,0,101268,93,340.48387096774195,3.903225806451613,0,,49.01890000473941,1585,2152.664699995512,414,51.373899997997796,1162,1729.907999997522,306
0_low_blowup,polyominoes,polyominoes_21,0.8581363004172462,nfa,nl.tudelft.algorithmics.pumpkin-regular,TIMEOUT,,,0.54992,,,,,,,,,,749.9735000019427,14207,199683.7115999915,2876,5128.332299998874,12513,208343.98890000375,2468
0_low_blowup,polyominoes,polyominoes_21,0.8581363004172462,dfa,nl.tudelft.algorithmics.pumpkin-regular,TIMEOUT,0,597.9303872,0.33856,87,66,0,2507,66,36.60606060606061,4.636363636363637,0,237921.0887,749.9735000019427,14207,199683.7115999915,2876,5128.332299998874,12513,208343.98890000375,2468
0_low_blowup,polyominoes,polyominoes_21,0.8581363004172462,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,TIMEOUT,,,1.38278,,,,,,,,,,749.9735000019427,14207,199683.7115999915,2876,5128.332299998874,12513,208343.98890000375,2468
0_low_blowup,polyominoes,polyominoes_24,0.822665883734586,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,45.9012241,4.5671,46,35,0,1240,35,31.62857142857143,4.0285714285714285,0,19478.4046,294.0665000023728,7018,50580.07229999566,1703,1302.964600003179,5989,52263.98980000158,1401
0_low_blowup,polyominoes,polyominoes_24,0.822665883734586,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,35.0349012,0.269268,46,35,0,1244,35,31.62857142857143,4.0285714285714285,0,14509.7611,294.0665000023728,7018,50580.07229999566,1703,1302.964600003179,5989,52263.98980000158,1401
0_low_blowup,polyominoes,polyominoes_24,0.822665883734586,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,21.406661,0.637267,260,242,0,604898,242,3853.809917355372,4.917355371900826,0,,294.0665000023728,7018,50580.07229999566,1703,1302.964600003179,5989,52263.98980000158,1401
0_low_blowup,polyominoes,polyominoes_35,0.821873886711792,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,208.2991702,0.314686,51,45,0,1559,45,20.733333333333334,3.1555555555555554,0,75288.7652,579.3308000029356,12107,147224.63710000375,2807,2874.8108000036154,10283,126056.34799999825,2307
0_low_blowup,polyominoes,polyominoes_35,0.821873886711792,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,167.6324445,0.876913,51,45,0,1571,45,20.733333333333334,3.1555555555555554,0,61058.3673,579.3308000029356,12107,147224.63710000375,2807,2874.8108000036154,10283,126056.34799999825,2307
0_low_blowup,polyominoes,polyominoes_35,0.821873886711792,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,TIMEOUT,,,0.897514,,,,,,,,,,579.3308000029356,12107,147224.63710000375,2807,2874.8108000036154,10283,126056.34799999825,2307
0_low_blowup,polyominoes,polyominoes_36,0.7129928894634777,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,198.8851251,0.304268,179,169,0,5537,169,17.005917159763314,4.644970414201183,0,90782.5015,370.4512000003888,8636,81391.52309999554,1547,1474.5860000002722,6443,54761.572599996725,1103
0_low_blowup,polyominoes,polyominoes_36,0.7129928894634777,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,137.5783512,0.319427,179,169,0,5547,169,17.005917159763314,4.644970414201183,0,60879.4068,370.4512000003888,8636,81391.52309999554,1547,1474.5860000002722,6443,54761.572599996725,1103
0_low_blowup,polyominoes,polyominoes_36,0.7129928894634777,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,60.566978,0.610105,1107,1008,0,2524470,1008,2505.8065476190477,4.845238095238095,0,,370.4512000003888,8636,81391.52309999554,1547,1474.5860000002722,6443,54761.572599996725,1103
0_low_blowup,polyominoes,polyominoes_37,0.7804878048780488,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,19.7949946,0.287628,55,47,0,1572,47,22.659574468085108,3.404255319148936,0,8750.2406,125.79170000026352,3840,12857.077000000572,902,314.3971000026795,3028,12147.102599999926,704
0_low_blowup,polyominoes,polyominoes_37,0.7804878048780488,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,15.8023587,0.278851,55,47,0,1561,47,22.659574468085108,3.404255319148936,0,6904.4177,125.79170000026352,3840,12857.077000000572,902,314.3971000026795,3028,12147.102599999926,704
0_low_blowup,polyominoes,polyominoes_37,0.7804878048780488,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,6.9394522,0.372278,308,269,0,464175,269,1068.4200743494423,4.5018587360594795,0,,125.79170000026352,3840,12857.077000000572,902,314.3971000026795,3028,12147.102599999926,704
0_low_blowup,polyominoes,polyominoes_4,0.8348323793949305,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,309.5729098,0.328306,76,70,0,2501,70,31.257142857142856,4.057142857142857,0,130804.9698,1027.9283999989275,13464,265158.722600001,2446,5756.8347999986145,10596,243545.30969999905,2042
0_low_blowup,polyominoes,polyominoes_4,0.8348323793949305,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,246.8783404,0.331608,76,70,0,2519,70,31.257142857142856,4.057142857142857,0,102888.0912,1027.9283999989275,13464,265158.722600001,2446,5756.8347999986145,10596,243545.30969999905,2042
0_low_blowup,polyominoes,polyominoes_4,0.8348323793949305,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,TIMEOUT,,,1.01059,,,,,,,,,,1027.9283999989275,13464,265158.722600001,2446,5756.8347999986145,10596,243545.30969999905,2042
